date_sk,date_utc,year_number,quarter_number,month_number,month_name,day_of_month,day_of_week_number,day_of_week_name,week_start_date,week_end_date,month_start_date,month_end_date,quarter_start_date,quarter_end_date,year_start_date,year_end_date,days_ago,weeks_ago,months_ago,years_ago,is_today,is_yesterday,is_past,is_future,is_current_week,is_last_week,is_current_month,is_last_month,is_current_year,is_last_year,is_weekend,is_weekday
20270902,2027-09-02,2027,3,9,September,2,5,Thursday,2027-08-29,2027-09-04,2027-09-01,2027-09-30,2027-07-01,2027-09-30,2027-01-01,2027-12-31,-364,-52,-12,-1,false,false,false,true,false,false,false,false,false,false,false,true
20270901,2027-09-01,2027,3,9,September,1,4,Wednesday,2027-08-29,2027-09-04,2027-09-01,2027-09-30,2027-07-01,2027-09-30,2027-01-01,2027-12-31,-363,-52,-12,-1,false,false,false,true,false,false,false,false,false,false,false,true
20270903,2027-09-03,2027,3,9,September,3,6,Friday,2027-08-29,2027-09-04,2027-09-01,2027-09-30,2027-07-01,2027-09-30,2027-01-01,2027-12-31,-365,-52,-12,-1,false,false,false,true,false,false,false,false,false,false,false,true
20150111,2015-01-11,2015,1,1,January,11,1,Sunday,2015-01-11,2015-01-17,2015-01-01,2015-01-31,2015-01-01,2015-03-31,2015-01-01,2015-12-31,4253,607,140,11,false,false,true,false,false,false,false,false,false,false,true,false
20150124,2015-01-24,2015,1,1,January,24,7,Saturday,2015-01-18,2015-01-24,2015-01-01,2015-01-31,2015-01-01,2015-03-31,2015-01-01,2015-12-31,4240,606,140,11,false,false,true,false,false,false,false,false,false,false,true,false
20150128,2015-01-28,2015,1,1,January,28,4,Wednesday,2015-01-25,2015-01-31,2015-01-01,2015-01-31,2015-01-01,2015-03-31,2015-01-01,2015-12-31,4236,605,140,11,false,false,true,false,false,false,false,false,false,false,false,true
20150126,2015-01-26,2015,1,1,January,26,2,Monday,2015-01-25,2015-01-31,2015-01-01,2015-01-31,2015-01-01,2015-03-31,2015-01-01,2015-12-31,4238,605,140,11,false,false,true,false,false,false,false,false,false,false,false,true
20150131,2015-01-31,2015,1,1,January,31,7,Saturday,2015-01-25,2015-01-31,2015-01-01,2015-01-31,2015-01-01,2015-03-31,2015-01-01,2015-12-31,4233,605,140,11,false,false,true,false,false,false,false,false,false,false,true,false
20150109,2015-01-09,2015,1,1,January,9,6,Friday,2015-01-04,2015-01-10,2015-01-01,2015-01-31,2015-01-01,2015-03-31,2015-01-01,2015-12-31,4255,608,140,11,false,false,true,false,false,false,false,false,false,false,false,true
20150117,2015-01-17,2015,1,1,January,17,7,Saturday,2015-01-11,2015-01-17,2015-01-01,2015-01-31,2015-01-01,2015-03-31,2015-01-01,2015-12-31,4247,607,140,11,false,false,true,false,false,false,false,false,false,false,true,false
20150106,2015-01-06,2015,1,1,January,6,3,Tuesday,2015-01-04,2015-01-10,2015-01-01,2015-01-31,2015-01-01,2015-03-31,2015-01-01,2015-12-31,4258,608,140,11,false,false,true,false,false,false,false,false,false,false,false,true
20150114,2015-01-14,2015,1,1,January,14,4,Wednesday,2015-01-11,2015-01-17,2015-01-01,2015-01-31,2015-01-01,2015-03-31,2015-01-01,2015-12-31,4250,607,140,11,false,false,true,false,false,false,false,false,false,false,false,true
20150102,2015-01-02,2015,1,1,January,2,6,Friday,2014-12-28,2015-01-03,2015-01-01,2015-01-31,2015-01-01,2015-03-31,2015-01-01,2015-12-31,4262,609,140,11,false,false,true,false,false,false,false,false,false,false,false,true
20150108,2015-01-08,2015,1,1,January,8,5,Thursday,2015-01-04,2015-01-10,2015-01-01,2015-01-31,2015-01-01,2015-03-31,2015-01-01,2015-12-31,4256,608,140,11,false,false,true,false,false,false,false,false,false,false,false,true
20150121,2015-01-21,2015,1,1,January,21,4,Wednesday,2015-01-18,2015-01-24,2015-01-01,2015-01-31,2015-01-01,2015-03-31,2015-01-01,2015-12-31,4243,606,140,11,false,false,true,false,false,false,false,false,false,false,false,true
20150110,2015-01-10,2015,1,1,January,10,7,Saturday,2015-01-04,2015-01-10,2015-01-01,2015-01-31,2015-01-01,2015-03-31,2015-01-01,2015-12-31,4254,608,140,11,false,false,true,false,false,false,false,false,false,false,true,false
